ts,util0,mem0,util1,mem1
1788665348705,2,10899;0,8555;
1788665349013,4,10899;0,8555;
1788665349262,2,10899;0,8555;
1788665349512,2,10899;0,8555;
1788665349762,1,10907;0,8555;
1788665350010,37,11244;0,8555;
1788665350257,100,11244;0,8555;
1788665350524,61,11244;0,8555;
1788665350772,1,11244;0,8555;
1788665351018,1,11244;0,8555;
1788665351263,47,11244;0,8555;
1788665351509,100,11244;0,8555;
1788665351766,22,11244;0,8555;
1788665352014,1,11244;0,8555;
1788665352262,1,11244;0,8555;
1788665352507,100,11244;0,8555;
1788665352753,77,11244;0,8555;
1788665353041,1,11244;0,8555;
1788665353288,89,11244;0,8555;
1788665353549,100,11244;0,8555;
1788665353794,0,11244;0,8555;
1788665354039,20,11244;0,8555;
1788665354302,100,11244;0,8555;
1788665354550,52,11244;0,8555;
1788665354865,71,11244;0,8555;
1788665355111,100,11244;0,8555;
1788665355366,2,11244;0,8555;
1788665355615,41,11244;0,8555;
1788665355863,100,11244;0,8555;
1788665356109,38,11244;0,8555;
1788665356356,24,11244;0,8555;
1788665356606,100,11244;0,8555;
1788665356857,49,11244;0,8555;
1788665357107,29,11244;0,8555;
1788665357356,100,11244;0,8555;
1788665357612,43,11244;0,8555;
1788665357877,18,11244;0,8555;
1788665358125,100,11244;0,8555;
1788665358372,56,11244;0,8555;
1788665358623,41,11244;0,8555;
1788665358870,100,11244;0,8555;
1788665359116,30,11244;0,8555;
1788665359366,72,11244;0,8555;
1788665359613,100,11244;0,8555;
1788665359867,11,11244;0,8555;
1788665360126,100,11244;0,8555;
1788665360410,64,11244;0,8555;
1788665360662,48,11244;0,8555;
1788665360908,100,11244;0,8555;
1788665361165,24,11244;0,8555;
1788665361414,92,11244;0,8555;
1788665361660,100,11244;0,8555;
1788665361907,79,11244;0,8555;
1788665362155,100,11244;0,8555;
1788665362509,30,11244;0,8555;
