ts,util0
1788663422055,2
1788663422148,4
1788663422259,4
1788663422355,3
1788663422454,3
1788663422549,9
1788663422643,9
1788663422736,100
1788663422829,100
1788663422922,100
1788663423018,100
1788663423132,76
1788663423252,76
1788663423364,0
1788663423457,1
1788663423551,1
1788663423649,2
1788663423738,2
1788663423829,2
1788663423923,0
1788663424017,0
1788663424113,1
