timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/05 05:53:58.879, 0, 15 %, 11717 MiB
2026/09/05 05:53:58.882, 1, 0 %, 8555 MiB
2026/09/05 05:53:59.883, 0, 10 %, 11678 MiB
2026/09/05 05:53:59.884, 1, 0 %, 8555 MiB
