timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/05 03:21:41.746, 0, 2 %, 11466 MiB
2026/09/05 03:21:41.755, 1, 0 %, 8555 MiB
2026/09/05 03:21:42.756, 0, 2 %, 11466 MiB
2026/09/05 03:21:42.758, 1, 0 %, 8555 MiB
2026/09/05 03:21:43.761, 0, 3 %, 11466 MiB
2026/09/05 03:21:43.763, 1, 0 %, 8555 MiB
2026/09/05 03:21:44.765, 0, 5 %, 11466 MiB
2026/09/05 03:21:44.766, 1, 0 %, 8555 MiB
2026/09/05 03:21:45.767, 0, 3 %, 11466 MiB
2026/09/05 03:21:45.770, 1, 0 %, 8555 MiB
2026/09/05 03:21:46.773, 0, 3 %, 11466 MiB
2026/09/05 03:21:46.775, 1, 0 %, 8555 MiB
2026/09/05 03:21:47.776, 0, 3 %, 11466 MiB
2026/09/05 03:21:47.777, 1, 0 %, 8555 MiB
2026/09/05 03:21:48.778, 0, 5 %, 11466 MiB
2026/09/05 03:21:48.779, 1, 0 %, 8555 MiB
2026/09/05 03:21:49.781, 0, 8 %, 11466 MiB
2026/09/05 03:21:49.782, 1, 0 %, 8555 MiB
2026/09/05 03:21:50.783, 0, 5 %, 11466 MiB
2026/09/05 03:21:50.786, 1, 0 %, 8555 MiB
2026/09/05 03:21:51.788, 0, 12 %, 11466 MiB
2026/09/05 03:21:51.790, 1, 0 %, 8555 MiB
2026/09/05 03:21:52.792, 0, 8 %, 11466 MiB
2026/09/05 03:21:52.794, 1, 0 %, 8555 MiB
2026/09/05 03:21:55.767, 0, 14 %, 11466 MiB
2026/09/05 03:21:55.768, 1, 0 %, 8555 MiB
2026/09/05 03:21:56.770, 0, 13 %, 11466 MiB
2026/09/05 03:21:56.772, 1, 0 %, 8555 MiB
2026/09/05 03:21:57.774, 0, 3 %, 11466 MiB
2026/09/05 03:21:57.775, 1, 0 %, 8555 MiB
2026/09/05 03:21:58.777, 0, 9 %, 11466 MiB
2026/09/05 03:21:58.778, 1, 0 %, 8555 MiB
2026/09/05 03:21:59.780, 0, 8 %, 11466 MiB
2026/09/05 03:21:59.782, 1, 0 %, 8555 MiB
2026/09/05 03:22:00.784, 0, 20 %, 11466 MiB
2026/09/05 03:22:00.785, 1, 0 %, 8555 MiB
2026/09/05 03:22:01.787, 0, 11 %, 11466 MiB
2026/09/05 03:22:01.789, 1, 0 %, 8555 MiB
2026/09/05 03:22:02.791, 0, 8 %, 11466 MiB
2026/09/05 03:22:02.792, 1, 0 %, 8555 MiB
2026/09/05 03:22:03.794, 0, 14 %, 11466 MiB
2026/09/05 03:22:03.798, 1, 0 %, 8555 MiB
2026/09/05 03:22:04.806, 0, 13 %, 11466 MiB
2026/09/05 03:22:04.807, 1, 0 %, 8555 MiB
2026/09/05 03:22:05.809, 0, 12 %, 11466 MiB
2026/09/05 03:22:05.811, 1, 0 %, 8555 MiB
2026/09/05 03:22:06.813, 0, 9 %, 11466 MiB
2026/09/05 03:22:06.814, 1, 0 %, 8555 MiB
2026/09/05 03:22:07.815, 0, 30 %, 11466 MiB
2026/09/05 03:22:07.816, 1, 0 %, 8555 MiB
2026/09/05 03:22:08.818, 0, 11 %, 11466 MiB
2026/09/05 03:22:08.819, 1, 0 %, 8555 MiB
2026/09/05 03:22:09.820, 0, 5 %, 11466 MiB
2026/09/05 03:22:09.822, 1, 0 %, 8555 MiB
2026/09/05 03:22:10.824, 0, 12 %, 11466 MiB
2026/09/05 03:22:10.825, 1, 0 %, 8555 MiB
2026/09/05 03:22:11.826, 0, 7 %, 11466 MiB
2026/09/05 03:22:11.828, 1, 0 %, 8555 MiB
2026/09/05 03:22:12.830, 0, 13 %, 11466 MiB
2026/09/05 03:22:12.830, 1, 0 %, 8555 MiB
2026/09/05 03:22:13.831, 0, 17 %, 11466 MiB
2026/09/05 03:22:13.833, 1, 0 %, 8555 MiB
2026/09/05 03:22:14.834, 0, 7 %, 11466 MiB
2026/09/05 03:22:14.835, 1, 0 %, 8555 MiB
2026/09/05 03:22:15.836, 0, 8 %, 11466 MiB
2026/09/05 03:22:15.838, 1, 0 %, 8555 MiB
2026/09/05 03:22:16.839, 0, 11 %, 11466 MiB
2026/09/05 03:22:16.840, 1, 0 %, 8555 MiB
2026/09/05 03:22:17.842, 0, 12 %, 11466 MiB
2026/09/05 03:22:17.844, 1, 0 %, 8555 MiB
2026/09/05 03:22:18.845, 0, 8 %, 11466 MiB
2026/09/05 03:22:18.846, 1, 0 %, 8555 MiB
2026/09/05 03:22:19.847, 0, 5 %, 11466 MiB
2026/09/05 03:22:19.848, 1, 0 %, 8555 MiB
2026/09/05 03:22:20.850, 0, 4 %, 11466 MiB
2026/09/05 03:22:20.851, 1, 0 %, 8555 MiB
2026/09/05 03:22:21.852, 0, 3 %, 11466 MiB
2026/09/05 03:22:21.854, 1, 0 %, 8555 MiB
2026/09/05 03:22:22.854, 0, 2 %, 11466 MiB
2026/09/05 03:22:22.856, 1, 0 %, 8555 MiB
2026/09/05 03:22:23.857, 0, 6 %, 11466 MiB
2026/09/05 03:22:23.859, 1, 0 %, 8555 MiB
2026/09/05 03:22:24.860, 0, 2 %, 11466 MiB
2026/09/05 03:22:24.863, 1, 0 %, 8555 MiB
2026/09/05 03:22:25.871, 0, 24 %, 11466 MiB
2026/09/05 03:22:25.872, 1, 0 %, 8555 MiB
2026/09/05 03:22:26.873, 0, 23 %, 11466 MiB
2026/09/05 03:22:26.874, 1, 0 %, 8555 MiB
2026/09/05 03:22:30.027, 0, 22 %, 11466 MiB
2026/09/05 03:22:30.030, 1, 0 %, 8555 MiB
2026/09/05 03:22:31.032, 0, 21 %, 11466 MiB
2026/09/05 03:22:31.034, 1, 0 %, 8555 MiB
2026/09/05 03:22:32.035, 0, 24 %, 11466 MiB
2026/09/05 03:22:32.037, 1, 0 %, 8555 MiB
2026/09/05 03:22:33.038, 0, 21 %, 11466 MiB
2026/09/05 03:22:33.039, 1, 0 %, 8555 MiB
2026/09/05 03:22:34.040, 0, 21 %, 11466 MiB
2026/09/05 03:22:34.042, 1, 0 %, 8555 MiB
2026/09/05 03:22:35.044, 0, 19 %, 11466 MiB
2026/09/05 03:22:35.047, 1, 0 %, 8555 MiB
2026/09/05 03:22:36.048, 0, 22 %, 11466 MiB
2026/09/05 03:22:36.050, 1, 0 %, 8555 MiB
2026/09/05 03:22:37.052, 0, 25 %, 11466 MiB
